Statistical unit;Unit of measure;Level of education;Orientation;Type of institution;Type of expenditure;Source of funding;Funding flow;Teaching experience;Type of contract;Reference area;Time Period;2010;2011;2012;2013;2014;2015;2016;2017
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L4:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;6.960.064;;6.960.064;6.960.060
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2_3:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;0.34011;;0.19881;0.20515
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L2_3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;303.940.052;247.952.465;253.260.128;306.598.467;251.773.089;259.368.000;;
EDU_EXP:Expenditure on education;USD:US dollar;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:L2:_T:_T:_T:GOV:_T:_Z:_Z:IR;324.359.365;294.999.894;324.293.085;344.802.874;205.451.748;167.697.963;190.346.755;209.809.051
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L3:Upper secondary education;_T:Total;_T:Total;CUR_TRF:Current and transfer expenditure;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L3:_T:_T:CUR_TRF:GOV:_T:_Z:_Z:IR;8.702.021;9.139.181;8.519.108;9.439.612;9.127.737;;;100
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;_X:Not allocated by level;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:_X:_T:_T:_T:GOV:_T:_Z:_Z:IR;0;0;0;0;0;0;0;0
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;1.905.740;1.441.121;1.484.600;1.671.844;1.408.832;1.453.780;;
XUNIT:Government expenditure per student;USD:US dollar;L02:Pre-primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L02:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;31.810.477;59.580.693;45.519.296;3.437.804;;;;
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:L2:_T:_T:_T:GOV:_T:_Z:_Z:IR;397.141;332.408;305.120;406.761;308.554;256.208;282.880;264.784
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L2_3:_T:_T:_T:GOV:_T:_Z:_Z:IR;4.918.235;3.927.918;4.142.852;4.530.434;3.966.764;3.788.715;3.652.996;3.303.826
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:L2_3:_T:_T:_T:GOV:_T:_Z:_Z:IR;2.430.302.341;1.929.357.046;1.899.138.488;1.861.152.970;1.485.091.138;1.481.633.994;1.696.112.976;1.958.948.157
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2:Lower secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2:_T:_T:CUR:GOV:_T:_Z:_Z:IR;2.209.503;1.780.352;1.778.376;1.865.978;1.559.005;;;1.364.088
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2_3:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;8.831.073;;8.439.646;8.439.648
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L5T8:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;1.113.019;;3.164.172;2.522.711
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;107.080.813;84.658.437;88.424.223;91.003.931;75.568.037;80.553.728;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L1:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;1.893.456;;1.154.962;1.154.960
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:L2:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.043.608.517;853.653.387;804.059.347;770.981.335;587.431.417;539.584.040;680.489.524;783.348.403
XUNIT:Government expenditure per student;USD:US dollar;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L5T8:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;86.525.159;112.274.484;115.991.290;96.500.093;78.254.958;;89.084.335;
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;_X:Not allocated by level;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:_X:_T:_T:_T:GOV:_T:_Z:_Z:IR;0;0;0;0;0;0;0;0
XUNIT:Government expenditure per student;USD:US dollar;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L4:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;;;53.303.163;;;;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L1:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;8.106.543;;8.845.038;8.845.040
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L2:Lower secondary education;_T:Total;_T:Total;CUR_TRF:Current and transfer expenditure;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L2:_T:_T:CUR_TRF:GOV:_T:_Z:_Z:IR;9.148.690;9.326.392;9.046.133;9.471.387;9.290.176;;;100
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;_T:Total;_T:Total;INST_PUB:Public institutions;CAP:Capital;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:_T:_T:INST_PUB:CAP:GOV:FFNTP:_Z:_Z:IR;;;;474.044;649.886;419.675;410.865;425.620
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2_3:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;1.131.927;;1.539.632;1.539.630
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:L1:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.219.578.320;1.336.716.329;1.164.654.065;1.076.925.219;1.006.643.136;1.045.486.763;1.339.642.442;1.786.176.589
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L2_3:Secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L2_3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;1.627.252;1.300.704;1.217.045;1.711.656;1.365.003;;;
EDU_EXP:Expenditure on education;GNI:as % of GNI;L2:Lower secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L2:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.71689;0.56477;0.50272;0.54153;0.40558;;;0.49921
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_TM:Expenditure for school books and teaching material;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2_3:_T:INST_PUB:CUR_TM:GOV:FFNTP:_Z:_Z:IR;;;;;0.99217;;0.93525;0.93525
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L5T8:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;3.497.650;;3.287.422;3.495.749
EDU_EXP:Expenditure on education;GDP:as % of GDP;_T:Total;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:_T:_T:_T:CUR:GOV:_T:_Z:_Z:IR;324.361;317.277;282.707;292.252;261.929;;;367.106
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L02:Pre-primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L02:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;102.348.469;172.411.114;112.861.536;7.686.951;;;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L2T4:Secondary and post-secondary non-tertiary education;C5:Vocational programmes;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L2T4:C5:_T:_T:GOV:_T:_Z:_Z:IR;;;;0.42632;0.29969;0.33151;0.35460;0.35689
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2:_T:INST_PUB:CUR:GOV:FFNTP:_Z:_Z:IR;;;;9.471.387;9.290.176;9.615.056;9.611.907;9.884.390
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:L2:_T:_T:_T:GOV:_T:_Z:_Z:IR;324.344.327;265.307.948;249.894.557;239.614.202;182.568.506;167.697.963;211.490.146;243.457.778
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L02:Pre-primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L02:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;566.112;912.146;588.915;0.43889;;;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L4:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.11299;0.14526;0.12128;0.16314;0.13988;;;0.14605
XUNIT:Government expenditure per student;USD:US dollar;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;107.085.777;94.132.988;114.749.855;130.953.911;85.039.778;80.553.728;;
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L4:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;;;125.456.552;;;;;
XUNIT:Government expenditure per student;USD:US dollar;L3:Upper secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;93.186.270;86.029.843;97.756.644;123.615.409;77.622.073;;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L02:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;3.476.520;;3.897.797;3.897.800
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L4:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;517.320;;517.320;517.321
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L02:Pre-primary education;_T:Total;_T:Total;CUR_TRF:Current and transfer expenditure;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L02:_T:_T:CUR_TRF:GOV:_T:_Z:_Z:IR;100;100;100;100;;;;100
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);YTOP:At the top of the salary scale;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L1:_T:_T:_T:GOV:FFNTP:YTOP:PERM:IR;;;;;;24.182.027;;
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:L2:_T:_T:_T:GOV:_T:_Z:_Z:IR;958.915.170;793.955.689;763.269.761;745.351.199;577.074.804;539.584.040;687.868.974;801.945.626
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L3:Upper secondary education;C4:General programmes;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);Y15:With 15 years' teaching experience;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L3:C4:_T:_T:GOV:FFNTP:Y15:PERM:IR;;;;;;14.215.111;;
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:L02:_T:_T:_T:GOV:_T:_Z:_Z:IR;43.528.676;76.149.416;44.519.236;3.489.530;7.220.304;9.592.726;14.704.174;21.415.079
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L4:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;;;106.486.396;;;;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;_T:Total;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:_T:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;420.450;;1.076.466;796.066
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CAP:Capital;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L4:_T:INST_PUB:CAP:GOV:FFNTP:_Z:_Z:IR;;;;245.291;481.975;251.324;233.117;290.808
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L02:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;94.042.448;160.354.058;107.136.119;7.431.410;13.304.853;14.274.444;;
EDU_EXP:Expenditure on education;USD:US dollar;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:L5T8:_T:_T:_T:GOV:_T:_Z:_Z:IR;328.004.677;462.257.404;510.896.862;421.502.854;366.654.684;357.233.743;387.372.809;518.217.605
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L2:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;314.118.045;259.629.390;245.934.759;359.358.311;279.369.791;259.680.702;;
XUNIT:Government expenditure per student;USD:US dollar;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L02:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;31.810.477;59.580.693;45.519.296;3.437.804;4.736.830;4.436.371;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CAP:Capital;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2_3:_T:INST_PUB:CAP:GOV:FFNTP:_Z:_Z:IR;;;;547.225;808.010;506.158;405.819;0.99916
EDU_EXP:Expenditure on education;GNI:as % of GNI;L3:Upper secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L3:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.90606;0.69739;0.64478;0.76316;0.60893;;;0.74919
EDU_EXP:Expenditure on education;GNI:as % of GNI;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L02:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.03557;0.05808;0.03241;0.00268;0.00546;0.00684;0.01052;0.01333
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L1:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;199.056.282;218.940.128;192.378.421;132.500.048;132.896.830;136.305.464;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L5T8:Tertiary education;_T:Total;INST_T:All institutions;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L5T8:_T:INST_T:_T:GOV:_T:_Z:_Z:IR;0.79217;0.94906;0.87557;0.70385;0.78443;0.82222;100.388;116.787
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;_T:Total;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:_T:_T:_T:_T:GOV:_T:_Z:_Z:IR;4.540.394.903;4.568.407.616;4.351.581.956;3.971.543.671;3.677.830.041;3.910.649.958;4.693.424.485;6.070.098.565
EDU_EXP:Expenditure on education;GDP:as % of GDP;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L3:_T:_T:_T:GOV:_T:_Z:_Z:IR;104.090;0.76321;0.75693;0.81414;0.67168;0.67387;0.73623;0.75152
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L2:Lower secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L2:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;1.589.544;1.281.051;1.160.887;1.943.325;1.503.810;;;
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L4:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;;;132.161.024;;;;;
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L4:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;;;34.863.651;;;;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L02:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;3.476.520;;3.897.797;3.897.800
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L1:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;199.056.282;218.940.128;192.378.421;132.500.048;132.896.830;136.305.464;;
EDU_EXP:Expenditure on education;USD:US dollar;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:L3:_T:_T:_T:GOV:_T:_Z:_Z:IR;430.992.198;371.734.558;441.667.141;487.553.066;313.952.830;292.780.822;284.090.527;314.868.158
XUNIT:Government expenditure per student;USD:US dollar;L2:Lower secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L2:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;89.318.337;83.677.332;89.728.927;152.218.793;90.772.868;;;
